# eto sig
1.061056253080993282e-05 3.494291575853222476e+00
1.513393290118030270e-05 3.565171145740549719e+00
1.219508104932845026e-05 3.754925810166640954e+00
1.252071067895807920e-05 3.791246516016724577e+00
1.282422919747659823e-05 4.084983749583764201e+00
1.429919216043956327e-05 4.213863846426542992e+00
1.635222919747659901e-05 4.719669775705978232e+00
6.203155123402524573e-06 5.118668108699861108e+00
2.341922919747659759e-05 5.748225938377912847e+00
1.745463660488400756e-05 6.747416165549812384e+00
2.331852549377289518e-05 7.852925283139231105e+00
3.786922919747659646e-05 9.356718251459327007e+00
3.868052549377289480e-05 1.140804219874783065e+01
6.187252549377289231e-05 1.504242734904783418e+01
9.342159956784697530e-05 2.083063750108042100e+01
1.279357106789580931e-04 2.869073975855355840e+01
1.752951921604395868e-04 3.740273565153941604e+01
2.138408958641432845e-04 4.627542289241391416e+01
2.635955995678469625e-04 5.455720114991508751e+01
2.899168588271061999e-04 6.217272469697655168e+01
3.425414143826617823e-04 6.867279853472062712e+01
3.600985625308099044e-04 7.440422878129621154e+01
3.904583032715506618e-04 7.945538260301667322e+01
4.070675625308099082e-04 8.411252089104685581e+01
4.424661180863654762e-04 8.815905906452974250e+01
4.420645995678469642e-04 9.175834920330221678e+01
4.597652662345136560e-04 9.417762544304262917e+01
4.617451921604395293e-04 9.395789714022754424e+01
4.533025625308099017e-04 9.399357481204073395e+01
4.593403032715506437e-04 9.408329592224283999e+01
4.437092662345136322e-04 9.360724710750254474e+01
4.544380810493284240e-04 9.399792958143497401e+01
4.645612291974765356e-04 9.775616701689156685e+01
4.897759329011802621e-04 1.030213618626120109e+02
5.681160069752543788e-04 1.175948209161479099e+02
6.335845254937729236e-04 1.326327756062281082e+02
6.830384514196987831e-04 1.425000757436552306e+02
7.282758958641431931e-04 1.513569014782865736e+02
7.752545625308098712e-04 1.604978625193497237e+02
8.201029329011803133e-04 1.698880742703435942e+02
8.871277847530321210e-04 1.820528135595779702e+02
9.326674143826617358e-04 1.928512055479474725e+02
9.739725995678469002e-04 2.004105243477738156e+02
9.949294143826617302e-04 2.064943086672721506e+02
1.008463266234513626e-03 2.078168724950477610e+02
1.003779044012291424e-03 2.089193007651182086e+02
1.022662118086365476e-03 2.100593572435804219e+02
1.024509599567847030e-03 2.114649296206953295e+02
1.037262525493773012e-03 2.129999876183710796e+02
1.028607414382661824e-03 2.146402281224247020e+02
1.043372006975254234e-03 2.158801763661057294e+02
1.045132525493772894e-03 2.174884473612922022e+02
1.053939414382661912e-03 2.188893184451152081e+02
1.068081710678958195e-03 2.206370670953134550e+02
1.067998932901180259e-03 2.221387337644182480e+02
1.077462525493772796e-03 2.238583246686235384e+02
1.088984710678958046e-03 2.254120663774821196e+02
1.099236155123402585e-03 2.274681748552461613e+02
1.102544784753032095e-03 2.293733560997305574e+02
1.118845006975254398e-03 2.314663961656797824e+02
1.127084784753032073e-03 2.333031835955187603e+02
1.136479414382661783e-03 2.354215020439401940e+02
1.138155784753032158e-03 2.372951531861492924e+02
1.148679044012291530e-03 2.394006788296480295e+02
1.157806006975254298e-03 2.414112890768910802e+02
1.172720969938217559e-03 2.434262576659397723e+02
1.178361340308587898e-03 2.456325788947202966e+02
1.184608784753032060e-03 2.476288101864163878e+02
1.200399858827106217e-03 2.496850544158104697e+02
1.195201006975254478e-03 2.516905346804037436e+02
1.211428118086365626e-03 2.540056215441121026e+02
1.229247414382661800e-03 2.554544808291433640e+02
1.239374673641921226e-03 2.579866202595911204e+02
1.253424562530810072e-03 2.601955457762210244e+02
1.264761858827106534e-03 2.624146062237545038e+02
1.275704562530810028e-03 2.646475526340734064e+02
1.298002488456735919e-03 2.671706109949558368e+02
1.299139377345624735e-03 2.694307255933331930e+02
1.320794340308587868e-03 2.718552925742325783e+02
